docid,words,ner_tags,text,labels
6803733,"['Insuffisance' 'gonadotrope' 'associée' 'à' ""l'"" 'hypoplasie' 'surrénale'
 'congénitale' 'à' 'forme' 'cytomégalique' '.']",[1 1 0 0 0 1 1 1 0 0 3 0],Insuffisance gonadotrope associée à l' hypoplasie surrénale congénitale à forme cytomégalique .,"['DISO', 'DISO', 'O', 'O', 'O', 'DISO', 'DISO', 'DISO', 'O', 'O', 'ANAT', 'O']"
284306,"['Hygiène' 'dentaire' 'et' 'éducation' 'sanitaire' 'chez' 'les' 'écoliers'
 'de' ""l'"" 'ile' 'de' 'Tahiti' '.']",[1 1 0 2 0 0 0 4 0 0 8 0 8 0],Hygiène dentaire et éducation sanitaire chez les écoliers de l' ile de Tahiti .,"['DISO', 'DISO', 'O', 'PROC', 'O', 'O', 'O', 'LIVB', 'O', 'O', 'GEOG', 'O', 'GEOG', 'O']"
2147750,['Quels' 'sont' 'les' 'vrais' 'agents' 'cancérogènes' '?'],[0 0 0 0 5 5 0],Quels sont les vrais agents cancérogènes ?,"['O', 'O', 'O', 'O', 'CHEM', 'CHEM', 'O']"
3592496,"['Typologie' 'des' 'accidents' 'liés' 'à' ""l'"" 'éducation' 'physique'
 'scolaire' '.' 'Analyse' 'factorielle' 'de' 'correspondance' 'de' '336'
 'cas' 'observés' 'à' 'Genève' 'dans' 'trois' 'degrés' 'du' 'secondaire'
 'inférieur' '.']",[0 0 1 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Typologie des accidents liés à l' éducation physique scolaire . Analyse factorielle de correspondance de 336 cas observés à Genève dans trois degrés du secondaire inférieur .,"['O', 'O', 'DISO', 'O', 'O', 'O', 'PROC', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17028560,"['La' 'maladie' ""d'"" 'Alzheimer' 'et' 'la' 'mémoire' 'humaine' '.']",[1 1 1 1 0 0 6 4 0],La maladie d' Alzheimer et la mémoire humaine .,"['DISO', 'DISO', 'DISO', 'DISO', 'O', 'O', 'PHYS', 'LIVB', 'O']"
7745553,"['Tumeurs' 'du' 'pharyngo' '-' 'larynx' ':' 'apport' 'de' 'la'
 'tomodensitométrie' 'en' 'acquisition' 'volumique' 'avec'
 'reconstructions' 'tridimensionnelles' '.']",[1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0],Tumeurs du pharyngo - larynx : apport de la tomodensitométrie en acquisition volumique avec reconstructions tridimensionnelles .,"['DISO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14146337,['CESARE' 'LOMBROSO' '.'],[0 0 0],CESARE LOMBROSO .,"['O', 'O', 'O']"
3453726,"['Place' 'de' 'la' 'rhinomanométrie' 'dans' ""l'"" 'allergie' 'aux'
 'acariens' 'de' ""l'"" 'enfant' 'à' 'propos' 'de' '76' 'explorations' '.']",[0 0 0 2 0 0 1 0 4 0 0 4 0 0 0 0 2 0],Place de la rhinomanométrie dans l' allergie aux acariens de l' enfant à propos de 76 explorations .,"['O', 'O', 'O', 'PROC', 'O', 'O', 'DISO', 'O', 'LIVB', 'O', 'O', 'LIVB', 'O', 'O', 'O', 'O', 'PROC', 'O']"
7847697,"['Hyperparathyroïdie' 'et' 'parathyroïde' 'intrathyroïdienne' '.' '43'
 'observations' '.']",[1 0 1 0 0 0 2 0],Hyperparathyroïdie et parathyroïde intrathyroïdienne . 43 observations .,"['DISO', 'O', 'DISO', 'O', 'O', 'O', 'PROC', 'O']"
13537376,"['Sur' 'une' 'structure' 'inframicroscopique' 'péricentriolaire' ';'
 'étude' 'au' 'microscope' 'électronique' 'sur' 'des' 'leucocytes' 'de'
 'mammifères' '.']",[0 0 0 0 0 0 0 0 9 0 0 0 3 0 4 0],Sur une structure inframicroscopique péricentriolaire ; étude au microscope électronique sur des leucocytes de mammifères .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OTHER', 'O', 'O', 'O', 'ANAT', 'O', 'LIVB', 'O']"
